weight;A;B;id;factor
1;3;1;1;Mental Demand
2;4;6;2;Physical Demand
3;6;5;3;Temporal Demand
4;4;1;4;Performance
5;3;6;5;Effort
6;5;4;6;Frustration
7;1;2;;
8;6;1;;
9;3;5;;
10;2;4;;
11;2;3;;
12;2;6;;
13;1;5;;
14;4;3;;
